"subject","block","event","position","condition","response","rt","accuracy","experiment","test","chance"
3601662,2,3,5,"variable","ramen",591.66,1,1,"order memory",0.166666666666667
3601662,2,3,6,"variable","caramelapple",479.53,1,1,"order memory",0.166666666666667
3601662,2,4,1,"predictable","hedgehog",3386.34,1,1,"order memory",0.166666666666667
3601662,2,4,2,"predictable","crocodile",967.23,1,1,"order memory",0.166666666666667
3601662,2,4,3,"predictable","killerwhale",14280.4,0,1,"order memory",0.166666666666667
3601662,2,4,4,"predictable","snake",4683.1,1,1,"order memory",0.166666666666667
3601662,2,4,5,"predictable","pelican",547.74,1,1,"order memory",0.166666666666667
3601662,2,4,6,"predictable","llama",335.81,0,1,"order memory",0.166666666666667
3601662,3,2,1,"predictable","caterpillar",2749.09,1,1,"order memory",0.166666666666667
3601662,3,2,2,"predictable","stingray",6468.6,1,1,"order memory",0.166666666666667
3601662,3,2,3,"predictable","lemur",2420.22,1,1,"order memory",0.166666666666667
3601662,3,2,4,"predictable","goat",4770.58,0,1,"order memory",0.166666666666667
3601662,3,2,5,"predictable","camel",3574.43,0,1,"order memory",0.166666666666667
3601662,3,2,6,"predictable","ostrich",748.91,0,1,"order memory",0.166666666666667
3601662,3,4,1,"variable","carrots",3399.53,1,1,"order memory",0.166666666666667
3601662,3,4,2,"variable","mustard",5228.19,1,1,"order memory",0.166666666666667
3601662,3,4,3,"variable","croissant",1382.57,1,1,"order memory",0.166666666666667
3601662,3,4,4,"variable","coconut",1813.32,1,1,"order memory",0.166666666666667
3601662,3,4,5,"variable","mushrooms",535.7,1,1,"order memory",0.166666666666667
3601662,3,4,6,"variable","grapes",1230.92,1,1,"order memory",0.166666666666667
3601662,4,1,1,"predictable","mantis",3274.49,1,1,"order memory",0.166666666666667
3601662,4,1,2,"predictable","moose",1780.95,1,1,"order memory",0.166666666666667
3601662,4,1,3,"predictable","dolphin",5452.05,1,1,"order memory",0.166666666666667
3601662,4,1,4,"predictable","dragonfly",3725.22,1,1,"order memory",0.166666666666667
3601662,4,1,5,"predictable","hippo",786.38,1,1,"order memory",0.166666666666667
3601662,4,1,6,"predictable","cheetah",616.49,1,1,"order memory",0.166666666666667
3601662,4,3,1,"variable","guava",2310.29,1,1,"order memory",0.166666666666667
3601662,4,3,2,"variable","pie",3911.21,1,1,"order memory",0.166666666666667
